Date,index_indiv_crash,Standard Error
12/31/02,32.14,3.6
11/30/02,28.95,3.68
10/31/02,29.56,3.62
9/30/02,31.33,3.79
8/31/02,34.36,3.72
7/31/02,35.59,3.6
6/30/02,39.59,3.48
5/31/02,40.71,3.27
4/30/02,39.37,3.07
3/31/02,40.57,3.14
2/28/02,38.76,3.37
1/31/02,40.23,3.72
12/31/01,36.57,4.16
