Date,Open,High,Low,Close,Adj Close,Volume
1/2/02,115.1100006,115.75,113.8099976,115.5299988,78.49749756,18651900
1/3/02,115.6500015,116.9499969,115.5400009,116.8399963,79.38759613,15743000
1/4/02,117.1699982,117.9800034,116.5500031,117.6200027,79.91757202,20140700
1/7/02,117.6999969,117.9899979,116.5599976,116.7900009,79.35360718,13106500
1/8/02,116.7900009,117.0599976,115.9700012,116.5199966,79.17018127,12683700
1/9/02,116.6800003,117.7799988,115.3399963,115.5699997,78.52468109,16610300
1/10/02,115.6900024,116.3499985,115.3000031,116.0800018,78.87122345,12823400
1/11/02,116.2099991,116.2799988,114.6999969,114.9400024,78.09661102,13708400
1/14/02,114.6500015,114.8399963,113.9599991,114.2200012,77.60742188,12301100
1/15/02,114.5500031,115.3899994,113.9000015,115.1500015,78.23930359,20219900
1/16/02,114.3000031,114.4000015,112.6900024,112.8199997,76.65618896,17067000
1/17/02,113.7600021,114.2399979,113.4000015,113.6699982,77.23370361,17283400
1/18/02,113,113.8499985,112.6699982,113.1500015,76.88041687,17028000
1/22/02,113.75,113.9300003,112.0199966,112.3700027,76.3504715,11689300
1/23/02,112.6299973,113.5500031,112.0199966,113.2300034,76.93474579,12438900
1/24/02,113.6399994,114.25,113.3199997,113.5800018,77.17256165,12142800
1/25/02,113.1200027,114.1800003,113.0400009,113.5500031,77.15218353,12810700
1/28/02,113.9000015,114.1900024,112.9199982,113.8600006,77.3628006,10589200
1/29/02,113.8499985,114.1299973,110.0500031,110.2799988,74.93039703,27720800
1/30/02,110.3899994,113.3899994,108.4000015,111.8700027,76.01071167,34711800
1/31/02,112.1500015,113.3000031,111.6200027,113.1800003,76.90080261,19909200
2/1/02,113.0899963,113.3000031,112.1699982,112.6500015,76.54068756,15838500
2/4/02,112.2300034,112.2300034,109.4400024,109.8499985,74.63819885,24243400
2/5/02,109.4000015,110.4899979,108.5299988,109.1699982,74.17617798,33614000
2/6/02,109.6500015,109.7399979,108.0599976,108.6999969,73.85682678,29486000
2/7/02,108.7200012,109.8600006,108,108.0199966,73.39479065,23445400
2/8/02,108.6299973,110.75,108.3000031,110.0899963,74.80125427,19277800
2/11/02,110.0500031,111.6399994,109.8199997,111.4400024,75.71854401,18792400
2/12/02,110.9599991,111.7099991,110.0299988,111.0899963,75.48073578,13942500
2/13/02,111.4800034,112.5400009,111.3499985,112.2699966,76.2824707,16781100
2/14/02,112.5100021,112.9700012,111.5899963,112.0599976,76.13978577,20453800
2/15/02,112.1500015,112.2399979,110.7099991,110.8899994,75.34481812,18366800
2/19/02,110.1500015,110.2900009,108.6100006,108.7600021,73.89758301,15988100
2/20/02,109.0500031,110.5899963,107.8199997,110.5899963,75.14096832,29242800
2/21/02,109.9300003,110.6299973,108.2600021,108.3000031,73.58505249,26288600
2/22/02,108.3499985,109.9400024,107.8700027,109.6399994,74.49549103,26572900
2/25/02,109.7399979,111.8099976,109.6999969,111.4499969,75.72536469,17458700
2/26/02,111.5999985,112.0400009,110.5699997,111.2200012,75.56903839,22346500
2/27/02,111.9599991,112.8600006,110.6500015,111.6500015,75.86123657,28597900
2/28/02,111.8300018,112.75,111.0299988,111.1500015,75.52150726,23755400
3/1/02,111.7200012,113.8499985,111.5100021,113.7399979,77.28126526,26273600
3/4/02,113.9000015,115.9899979,113.6500015,115.75,78.64698792,27184600
3/5/02,115.3300018,116.4000015,114.9700012,115.3799973,78.39557648,22718900
3/6/02,115.0999985,117.1500015,115.0699997,116.75,79.32646179,20143200
3/7/02,117.3600006,117.5,115.5699997,116.5,79.15660095,19330800
3/8/02,117.3799973,117.9000015,116.4800034,116.9899979,79.48950195,19930100
3/11/02,116.8899994,117.9000015,116.4300003,117.2399979,79.65940857,15621800
3/12/02,116.0999985,117.25,115.9400024,117.1699982,79.61180878,17153600
3/13/02,116.6299973,116.75,115.6399994,116.0400009,78.84401703,17175300
3/14/02,116.0400009,116.4300003,115.6299973,115.8799973,78.73532867,11168100
3/15/02,115.9700012,116.9499969,115.9000015,116.6500015,79.4855423,21220100
3/18/02,117.0999985,117.5599976,116.0999985,116.6699982,79.49915314,17548900
3/19/02,117.3000031,117.7399979,116.8199997,117.4499969,80.03063202,17912000
3/20/02,116.5,116.5800018,115.1900024,115.2399979,78.52477264,17114500
3/21/02,115.3000031,115.9000015,114.1200027,115.2900009,78.558815,25846800
3/22/02,115.5,115.9400024,114.6999969,115.0400009,78.38851166,15235400
3/25/02,115.0899963,115.3600006,113.3000031,113.6100006,77.41409302,17499600
3/26/02,113.5199966,115.0199966,113.4700012,114.2699966,77.86380005,19947600
3/27/02,114.0299988,115.0100021,113.7600021,114.5699997,78.06822968,19020300
3/28/02,114.9700012,115.7699966,114.5,114.5199966,78.03414917,17532900
4/1/02,114.2300034,115.0999985,113.5,114.5699997,78.06822968,17711000
4/2/02,113.9800034,114.9499969,113.7699966,113.9400024,77.6389389,15669500
4/3/02,114.0100021,114.2099991,112.1600037,113.1399994,77.09381866,25658500
4/4/02,112.5999985,113.4000015,112.2300034,112.6699982,76.77355957,23549000
4/5/02,113.1900024,113.6299973,112.1800003,112.6900024,76.78717804,19404900
4/8/02,111.3199997,113.0299988,111.2300034,112.9300003,76.95074463,16470100
4/9/02,113.1800003,113.1800003,111.9300003,112.1399994,76.41243744,15122700
4/10/02,112.0999985,113.5400009,112.0899963,113.4100037,77.27780914,17199300
4/11/02,112.8899994,113.0500031,110.5,110.5899963,75.35622406,25453700
4/12/02,111.0199966,111.6500015,110.0400009,111.4199982,75.92182159,14950600
4/15/02,111.6200027,111.8600006,110.1999969,110.5699997,75.34260559,17394900
4/16/02,111.6999969,113.3199997,111.6699982,113.1999969,77.13471985,15040900
4/17/02,113.3899994,113.6699982,112.5999985,112.9599991,76.97118378,12920100
4/18/02,112.9000015,113.4599991,111.1500015,112.4700012,76.63726044,25204800
4/19/02,113.1999969,113.2399979,112.5599976,112.8799973,76.91666412,10499200
4/22/02,112.3799973,112.4300003,110.8399963,111,75.63562775,13922900
4/23/02,111.0899963,111.4800034,110.1699982,110.5199966,75.3085556,16967000
4/24/02,110.5599976,111.8099976,109.4000015,109.4100037,74.55221558,18902700
4/25/02,109.2099991,109.7399979,108.7200012,109.4700012,74.59307098,25451500
4/26/02,109.7900009,110.0100021,107.2900009,107.3899994,73.17575073,19769800
4/29/02,107.9300003,108.2600021,106.6299973,106.8600006,72.81462097,17724400
4/30/02,107.0199966,108.6399994,106.6399994,107.8600006,73.49603271,19473500
5/1/02,107.9700012,109.25,106.8000031,109.1800003,74.39545441,24575600
5/2/02,109.0999985,109.9100037,107.7799988,108.7600021,74.10926056,15666800
5/3/02,108.5999985,108.7600021,107.1999969,107.5800018,73.30524445,18185500
5/6/02,107.6399994,107.9899979,105.3099976,105.4700012,71.86746979,23630400
5/7/02,106.0999985,106.3199997,104.9000015,105.0999985,71.6153183,21910000
5/8/02,107.0500031,109.3600006,106.7900009,109.0100021,74.27963257,27917400
5/9/02,108.6500015,109.0999985,107.5800018,107.75,73.42106628,18085600
5/10/02,107.9700012,108.0500031,105.5999985,105.7200012,72.03781891,18958900
5/13/02,106.2200012,107.9499969,105.7900009,107.8700027,73.50282288,14677700
5/14/02,109.6200027,110.3700027,109,110.2200012,75.10411072,34201200
5/15/02,109.5,110.9100037,109.2900009,109.7900009,74.8111496,29535300
5/16/02,109.6999969,110.4800034,109.3300018,110.3600006,75.1995163,28092000
5/17/02,110.6600037,111.25,110.0999985,110.9000015,75.56748199,27823700
5/20/02,110.6399994,110.6900024,109.4899979,109.6999969,74.74982452,13833800
5/21/02,110.1100006,110.4800034,108.3199997,108.6999969,74.06840515,16877200
5/22/02,108.2200012,109.1200027,108,108.9400024,74.23193359,15844200
5/23/02,109.2600021,110.3600006,108.4800034,110.0999985,75.02237701,13879800
5/24/02,109.9800034,110.1999969,108.6100006,108.6900024,74.0615921,11877000
5/28/02,109.0500031,109.1299973,107.4499969,108.0999985,73.65956116,24236900
5/29/02,107.6200027,108.0199966,107.1299973,107.3000031,73.11444855,14773300
5/30/02,106.5500031,107.5100021,105.9000015,107,72.9099884,18217900
5/31/02,107.4000015,108.5599976,106.8499985,107.2200012,73.05995941,19826300
6/3/02,107.0899963,107.5999985,104.1299973,104.3700027,71.11795044,26056300
6/4/02,104.1500015,105.1999969,103.5500031,104.6299973,71.29508972,25856200
6/5/02,104.9499969,105.6699982,104.3499985,105.6100006,71.96289825,19695900
6/6/02,105.5400009,105.5999985,103.1500015,103.4599991,70.49784088,22998500
6/7/02,101.7799988,103.9199982,101.7200012,103.3399963,70.41609192,24011600
6/10/02,103.2399979,104.4599991,103.0199966,103.7399979,70.68860626,18759900
