Date,index_inst_crash,Standard Error
12/31/02,23.42,4.02
11/30/02,21.15,4
10/31/02,23.58,4.12
9/30/02,25.47,4.23
8/31/02,30.93,4.69
7/31/02,40.21,4.98
6/30/02,36.04,4.56
5/31/02,33.07,4.17
4/30/02,32.58,4.08
3/31/02,31.11,3.98
2/28/02,29.6,4.08
1/31/02,24.77,4.13
12/31/01,25,3.95
